control_id,process,sub_process,risk_id,risk_title,risk_description,wcgw,control_id_ref,control_title,control_description,control_type,control_nature,frequency,assertion,owner_function,key_control,automation,evidence_expected,test_procedure,referential_mapping
PAY-005,Payroll,Calculation,R-PAY-05,Heures supplémentaires non contrôlées,Heures sup payées sans validation hiérarchique,Surcoût et risque de fraude,C-PAY-05,Validation manager des heures supplémentaires,Toute heure sup validée par manager + alerte si dépassement contingent annuel,Préventif,Manuel,Mensuel,Autorisation,Manager / Paie,Oui,Semi-auto,Validation + tableaux de suivi,Échantillonner 25 heures sup. Vérifier validation et respect du contingent.,Code du Travail
PAY-006,Payroll,Variables,R-PAY-06,Primes ou bonus non justifiés,Versement de variables sans support,Subjectivité ou détournement,C-PAY-06,Justificatif obligatoire pour primes exceptionnelles,Toute prime exceptionnelle nécessite ordre signé manager + RH,Préventif,Manuel,Permanent,Autorisation,RH / Paie,Oui,Manuel,Ordres de prime signés,Échantillonner 20 primes. Vérifier la signature et la cohérence.,COSO
PAY-007,Payroll,Calculation,R-PAY-07,Cotisations sociales mal calculées,Erreur de paramétrage des taux URSSAF / retraite,Redressement URSSAF,C-PAY-07,Veille sociale et mise à jour des paramètres,Veille mensuelle des taux. Mise à jour paramétrage trimestrielle a minima,Préventif,Manuel,Trimestriel,Conformité,Paie / Fiscalité,Oui,Semi-auto,Notes de veille + paramétrage,Vérifier les taux appliqués vs taux officiels sur 3 mois.,URSSAF / SOX
PAY-008,Payroll,Approval,R-PAY-08,Paie validée sans contrôle,Bordereau de paie envoyé en banque sans revue,Erreur ou fraude non détectée,C-PAY-08,Validation hiérarchique du bordereau de paie,Bordereau revu par RH + Comptabilité avant transmission banque. Variations vs N-1 expliquées,Préventif,Manuel,Mensuel,Exactitude,RH / Comptabilité,Oui,Manuel,Bordereau signé + analyse écart,Échantillonner 3 mois. Vérifier la trace de revue et l'analyse des variations.,COSO / SOX
PAY-009,Payroll,Disbursement,R-PAY-09,Paiement vers compte autre que salarié,Virement de paie vers un IBAN ne correspondant pas au RIB salarié,Fraude au virement,C-PAY-09,Cohérence IBAN paiement vs SIRH,Le fichier de virements rapproché du SIRH avant transmission. Écart bloque,Préventif,Automatique,Mensuel,Existence,Paie / Trésorerie,Oui,Auto,Log de rapprochement,Tester l'introduction d'un IBAN non SIRH. Vérifier le blocage.,ANSSI / AFA
PAY-010,Payroll,Reporting,R-PAY-10,DSN incorrecte ou en retard,DSN erronée ou non transmise,Sanction administrative,C-PAY-10,Contrôles automatiques avant envoi DSN,Contrôles bloquants paramétrés. Validation Paie + envoi automatique selon calendrier,Préventif,Automatique,Mensuel,Conformité,Paie,Oui,Auto,Logs DSN + accusés,Vérifier la transmission et les contrôles bloqués sur 3 DSN.,net-entreprises / DSN
PAY-011,Payroll,Reconciliation,R-PAY-11,Compte de paie non rapproché,Soldes des comptes de paie en GL non justifiés,Erreur ou détournement non détecté,C-PAY-11,Rapprochement mensuel paie vs GL,Rapprochement formalisé entre la masse salariale paie et le GL chaque mois,Détectif,Manuel,Mensuel,Exactitude,Comptabilité,Oui,Semi-auto,Rapprochement signé,Sélectionner 3 mois. Vérifier la cohérence et la résolution des écarts.,COSO / SOX
PAY-012,Payroll,Access,R-PAY-12,Accès trop large au système de paie,Utilisateurs avec droits étendus sur la paie,Risque de manipulation,C-PAY-12,Revue trimestrielle des accès paie,Revue Paie + IT des profils ayant accès au calcul / paramétrage / virements,Détectif,Manuel,Trimestriel,Autorisation,Paie / IT,Oui,Semi-auto,Rapport accès + revues,Extraire les utilisateurs avec droits sensibles. Justifier chaque accès.,COSO / SOX / RGPD
PAY-013,Payroll,Compliance,R-PAY-13,"Non-respect des seuils légaux (SMIC, congés)",Application incorrecte des minima légaux,Risque prud'homal et URSSAF,C-PAY-13,Contrôles de conformité paramétrés,"Alertes auto sur paie inférieure SMIC, dépassement durée, congés non pris",Détectif,Automatique,Mensuel,Conformité,Paie,Non,Auto,Rapports d'alerte,Vérifier les alertes émises sur 3 mois et leur traitement.,Code du Travail
TRE-001,Treasury,Bank Account Management,R-TRE-01,Compte bancaire non autorisé,Ouverture d'un compte bancaire sans autorisation appropriée,Risque de comptes off-the-books,C-TRE-01,Centralisation des ouvertures de compte,Toute ouverture validée par DAF + Direction Générale. Liste exhaustive maintenue,Préventif,Manuel,Permanent,Existence,DAF / Trésorerie,Oui,Manuel,Liste des comptes + dossiers d'ouverture,Comparer la liste interne avec les confirmations bancaires annuelles. Investiguer les écarts.,COSO / SOX
TRE-002,Treasury,Bank Account Management,R-TRE-02,Pouvoirs bancaires obsolètes,Personnes parties ou en changement de fonction conservent des pouvoirs bancaires,Risque de fraude,C-TRE-02,Revue trimestrielle des pouvoirs bancaires,Revue trimestrielle de la matrice des pouvoirs vs effectifs. Mise à jour banque,Détectif,Manuel,Trimestriel,Autorisation,Trésorerie / RH,Oui,Manuel,Matrice pouvoirs + courriers banque,Comparer la matrice avec les RH (mouvements). Vérifier les courriers banque.,COSO / SOX
TRE-003,Treasury,Cash Forecasting,R-TRE-03,Prévision de trésorerie inexacte,Forecasting erroné menant à un déficit de trésorerie,Coût d'intérêt + risque liquidité,C-TRE-03,Forecast hebdomadaire avec analyse d'écarts,Forecast 13 semaines glissant. Analyse hebdo des écarts vs réel,Détectif,Manuel,Hebdomadaire,Évaluation,Trésorerie,Non,Semi-auto,Forecasts + analyses d'écarts,Comparer forecasts et réalisé sur 8 semaines. Investiguer les écarts >10%.,COSO
TRE-004,Treasury,Investments,R-TRE-04,Placement non conforme à la politique,Placement dans un instrument non autorisé ou hors limite,Risque financier,C-TRE-04,Politique de placement formalisée et appliquée,Politique définit instruments / contreparties / durées autorisés. Tout placement validé,Préventif,Manuel,Permanent,Conformité,Trésorerie / DAF,Oui,Manuel,Politique + ordres signés,Échantillonner 20 placements. Vérifier la conformité à la politique.,COSO
TRE-005,Treasury,Investments,R-TRE-05,Concentration excessive sur une contrepartie,Trop de placements concentrés sur une banque,Risque de contrepartie,C-TRE-05,Limites par contrepartie et reporting,Limites par contrepartie. Reporting mensuel d'exposition. Alertes auto,Détectif,Automatique,Mensuel,Évaluation,Trésorerie,Oui,Auto,Reporting d'exposition,Recalculer l'exposition par contrepartie. Vérifier le respect des limites.,COSO / Bâle
TRE-006,Treasury,Payments,R-TRE-06,Paiement non autorisé,Décaissement sans validation appropriée,Détournement,C-TRE-06,Workflow de validation multi-niveaux,Tout paiement validé selon matrice de signatures avant transmission banque,Préventif,Manuel,Permanent,Autorisation,Trésorerie,Oui,Semi-auto,Workflow + signatures,Sélectionner 25 paiements. Vérifier les signatures vs matrice.,COSO / SOX
TRE-007,Treasury,Payments,R-TRE-07,Manipulation du fichier de paiement,Modification du fichier après validation et avant transmission,Détournement par injection de virements,C-TRE-07,Hash et signature du fichier de paiement,Le fichier signé électroniquement. Hash vérifié à la transmission,Préventif,Automatique,Permanent,Existence,Trésorerie / IT,Oui,Auto,Hash + logs de transmission,Tenter une modification entre validation et transmission. Vérifier la détection.,ANSSI / SOX
TRE-008,Treasury,FX,R-TRE-08,Position de change non couverte,Exposition FX au-delà de la politique,Perte de change,C-TRE-08,Mesure et couverture des positions FX,Position calculée quotidiennement. Couverture systématique au-delà du seuil,Préventif,Manuel,Quotidien,Évaluation,Trésorerie,Oui,Semi-auto,Reporting positions + ordres de couverture,Recalculer la position. Vérifier les couvertures et leur conformité.,COSO / IFRS 9
TRE-009,Treasury,Debt,R-TRE-09,Covenants non respectés,Dépassement des ratios contractuels avec les banques,Exigibilité anticipée,C-TRE-09,Suivi mensuel des covenants,Ratios calculés mensuellement. Reporting et alertes en cas de tension,Détectif,Manuel,Mensuel,Conformité,Trésorerie / DAF,Oui,Semi-auto,Reporting covenants,Recalculer les ratios sur 3 mois. Vérifier la communication banque.,COSO / SOX
TRE-010,Treasury,Reconciliation,R-TRE-10,Compte bancaire non rapproché,Écart entre relevé bancaire et compte comptable,Erreur ou fraude non détectée,C-TRE-10,Rapprochement bancaire mensuel,Tous les comptes rapprochés mensuellement. Items >30j investigués,Détectif,Manuel,Mensuel,Exactitude,Comptabilité,Oui,Semi-auto,Rapprochements signés,Échantillonner 10 comptes. Vérifier le rapprochement et les items en suspens.,COSO / SOX
TRE-011,Treasury,Reconciliation,R-TRE-11,Encaissement non identifié,Encaissement bancaire non rattaché à un client,Risque de blanchiment ou fraude,C-TRE-11,Investigation des encaissements non identifiés,Tout encaissement non identifié sous 5 jours fait l'objet d'une investigation,Détectif,Manuel,Hebdomadaire,Existence,Trésorerie / Comptabilité,Non,Manuel,Liste des encaissements + investigations,Lister les encaissements non identifiés sur la période. Vérifier le délai de résolution.,COSO / FATF
TRE-012,Treasury,Fraud Prevention,R-TRE-12,Fraude au président / faux ordre de virement,Demande frauduleuse imitant un dirigeant,Détournement de fonds,C-TRE-12,Procédure anti-FOVI avec callback,Tout virement urgent / inhabituel exige callback sur numéro vérifié + double validation,Préventif,Manuel,Permanent,Existence,Trésorerie,Oui,Manuel,Procédure + traces de callback,Tester avec un cas simulé. Échantillonner 10 virements urgents et vérifier le callback.,ANSSI / AFA
TRE-013,Treasury,System Access,R-TRE-13,Accès large à l'outil de trésorerie,Profils trop larges sur le TMS,Risque de fraude,C-TRE-13,Revue trimestrielle des accès TMS,Revue des profils par Trésorerie + IT. Principe du moindre privilège,Détectif,Manuel,Trimestriel,Autorisation,Trésorerie / IT,Oui,Semi-auto,Rapports accès + revues,Extraire les utilisateurs TMS. Vérifier la justification métier.,COSO / SOX
FA-001,Fixed Assets,Acquisition,R-FA-01,Acquisition non autorisée,Investissement engagé sans validation appropriée,Allocation de capital non maîtrisée,C-FA-01,Capex authorization workflow,Tout investissement validé selon matrice (montant + nature). Capex plan annuel,Préventif,Manuel,Permanent,Autorisation,DAF / Direction,Oui,Semi-auto,Workflow Capex + plan annuel,Échantillonner 20 capex. Vérifier la validation et la cohérence avec le plan.,COSO / SOX
FA-002,Fixed Assets,Acquisition,R-FA-02,Capitalisation incorrecte,Charge comptabilisée à tort en immo (ou inversement),Distorsion du résultat et du bilan,C-FA-02,Critères de capitalisation documentés,Politique définit les seuils et critères. Cas limites validés Comptabilité,Préventif,Manuel,Permanent,Cut-off,Comptabilité,Oui,Manuel,Politique + dossiers de cas limites,Échantillonner 20 capex et 20 charges proches du seuil. Vérifier le traitement.,COSO / IAS 16
FA-003,Fixed Assets,Master Data,R-FA-03,Immobilisation fictive,Création d'une immobilisation sans existence physique,Détournement ou erreur,C-FA-03,Réception physique avant capitalisation,Capitalisation sur réception physique tracée. Photo + bon de réception,Préventif,Manuel,Permanent,Existence,Comptabilité / Logistique,Oui,Semi-auto,Bons de réception + photos,Échantillonner 25 capitalisations. Vérifier l'existence physique.,COSO / SOX
FA-004,Fixed Assets,Depreciation,R-FA-04,Durée d'amortissement inappropriée,Application d'une durée non conforme à la politique ou à la durée d'utilité,Distorsion du résultat,C-FA-04,Politique d'amortissement par catégorie,Durées définies par catégorie d'immo. Revue annuelle de la durée d'utilité,Préventif,Manuel,Annuel,Évaluation,Comptabilité,Oui,Semi-auto,Politique + table d'amortissement,Échantillonner 25 immos. Vérifier la durée appliquée vs politique.,COSO / IAS 16
FA-005,Fixed Assets,Depreciation,R-FA-05,Calcul d'amortissement erroné,Erreur de paramétrage ou de calcul,Distorsion comptable,C-FA-05,Calcul automatique avec contrôles,Calcul automatisé dans le module FA. Rapprochement mensuel charge / paramètres,Préventif,Automatique,Mensuel,Exactitude,Comptabilité / IT,Oui,Auto,Logs + rapprochement,Recalculer l'amortissement de 20 immos. Comparer au calcul système.,COSO / SOX
FA-006,Fixed Assets,Impairment,R-FA-06,Indicateur d'impairment ignoré,Non-prise en compte d'indicateurs de dépréciation,Surévaluation des actifs,C-FA-06,Revue annuelle des indicateurs d'impairment,"Revue formalisée des indicateurs (perte, non-utilisation, obsolescence) avec test si signal",Détectif,Manuel,Annuel,Évaluation,Comptabilité / DAF,Oui,Manuel,Note de revue + tests,Vérifier la trace de revue. Échantillonner 5 actifs avec signal et tests.,IAS 36 / SOX
FA-007,Fixed Assets,Disposal,R-FA-07,Cession non autorisée,Sortie d'actif sans validation appropriée,Vente sous-évaluée ou détournement,C-FA-07,Workflow de cession et matrice,Toute cession validée selon matrice. Prix justifié (devis externes pour cessions importantes),Préventif,Manuel,Permanent,Autorisation,DAF,Oui,Semi-auto,Workflow + dossiers de cession,Échantillonner 15 cessions. Vérifier la validation et le prix.,COSO / SOX
FA-008,Fixed Assets,Disposal,R-FA-08,Sortie comptable non effectuée,Actif cédé physiquement mais maintenu en compta,Surévaluation des actifs,C-FA-08,Rapprochement annuel inventaire physique,Inventaire physique annuel rapproché avec la liste compta. Écarts investigués,Détectif,Manuel,Annuel,Existence,Comptabilité / Opérations,Oui,Manuel,PV d'inventaire + rapprochement,Vérifier le PV et le rapprochement. Échantillonner 30 actifs et tester l'existence.,COSO / SOX
FA-009,Fixed Assets,Inventory,R-FA-09,Vol ou perte d'actif non détecté,Disparition d'un actif sans détection,Perte économique non comptabilisée,C-FA-09,Tagging et inventaire physique tournant,Tous les actifs >seuil tagués. Inventaire tournant trimestriel par site,Détectif,Manuel,Trimestriel,Existence,Opérations,Non,Manuel,Tags + PV d'inventaire,Vérifier la couverture du tagging. Tester 20 actifs choisis aléatoirement.,COSO
FA-010,Fixed Assets,CWIP,R-FA-10,Construction en cours non transférée,CWIP maintenu après mise en service,Retard d'amortissement,C-FA-10,Revue mensuelle du CWIP,Revue mensuelle des projets en CWIP. Mise en service tracée et déclenche le transfert,Détectif,Manuel,Mensuel,Cut-off,Comptabilité / Projets,Oui,Semi-auto,Reporting CWIP + transferts,Échantillonner 10 projets. Vérifier la cohérence des dates de mise en service.,COSO / IAS 16
FA-011,Fixed Assets,Reconciliation,R-FA-11,Module FA non rapproché avec GL,Écart entre le sous-grand-livre FA et le GL,Erreur ou manipulation non détectée,C-FA-11,Rapprochement mensuel module FA / GL,Rapprochement formalisé mensuel. Items en suspens investigués,Détectif,Manuel,Mensuel,Exactitude,Comptabilité,Oui,Semi-auto,Rapprochement signé,Sélectionner 3 mois. Vérifier le rapprochement.,COSO / SOX
ITA-001,IT - Access Management,User Provisioning,R-ITA-01,Création d'accès non autorisée,Création de compte utilisateur sans demande validée,Accès non maîtrisé aux systèmes,C-ITA-01,Workflow de provisioning avec validation manager,Toute création de compte déclenchée par RH ou demande validée par manager + IT,Préventif,Manuel,Permanent,Autorisation,IT / RH,Oui,Semi-auto,Workflow IAM + tickets,Échantillonner 25 créations. Vérifier la trace de validation.,COSO / NIST AC-2 / ISO 27001 A.9
ITA-002,IT - Access Management,User Provisioning,R-ITA-02,Profil de droits trop large,Attribution d'un profil dépassant le besoin métier,Risque de fraude / fuite,C-ITA-02,Catalogue de rôles avec validation métier,Rôles définis avec owner métier. Attribution selon catalogue. Exceptions justifiées,Préventif,Manuel,Permanent,Autorisation,IT / Métier,Oui,Semi-auto,Catalogue + dossiers d'exception,Échantillonner 20 attributions. Vérifier la cohérence avec le rôle catalogue.,NIST AC-6 / ISO A.9.2.3
ITA-003,IT - Access Management,Privileged Access,R-ITA-03,Compte privilégié non maîtrisé,Comptes admin partagés ou non tracés,Risque majeur de compromission,C-ITA-03,PAM (Privileged Access Management),Comptes privilégiés gérés par solution PAM. Sessions enregistrées + check-in/check-out,Préventif,Automatique,Continu,Autorisation,IT Sécurité,Oui,Auto,Logs PAM + enregistrements,Lister les comptes privilégiés. Vérifier qu'ils passent par le PAM.,NIST AC-6(5) / ISO A.9.2.3
ITA-004,IT - Access Management,Privileged Access,R-ITA-04,MFA non activé sur les comptes sensibles,Authentification simple sur des accès critiques,Compromission par mot de passe seul,C-ITA-04,MFA obligatoire sur comptes sensibles,MFA forcé sur admin / VPN / cloud / accès distants. Surveillance de la couverture,Préventif,Automatique,Continu,Existence,IT Sécurité,Oui,Auto,Politique MFA + reporting,Vérifier la couverture MFA. Tenter une connexion sans MFA sur un compte cible.,NIST IA-2 / ANSSI / ISO A.9.4.2
ITA-005,IT - Access Management,Authentication,R-ITA-05,Politique de mot de passe insuffisante,Complexité ou rotation non conforme aux bonnes pratiques,Compromission par brute-force,C-ITA-05,Politique de mot de passe technique,Longueur min 12 + complexité + historique + verrouillage. Imposée techniquement,Préventif,Automatique,Continu,Existence,IT Sécurité,Oui,Auto,Paramétrage AD + audit,Extraire la politique appliquée. Vérifier conformité avec le standard ANSSI.,NIST IA-5 / ANSSI / ISO A.9.4.3
ITA-006,IT - Access Management,User Lifecycle,R-ITA-06,Comptes inactifs non désactivés,Comptes dormants exploitables par un attaquant,Compromission silencieuse,C-ITA-06,Désactivation automatique des comptes inactifs,Comptes >90j sans connexion désactivés automatiquement. Exceptions tracées,Préventif,Automatique,Continu,Existence,IT,Oui,Auto,Reporting inactivité + désactivations,Lister les comptes inactifs >90j encore actifs. Vérifier les exceptions.,NIST AC-2 / CIS 5.3
ITA-007,IT - Access Management,User Lifecycle,R-ITA-07,Accès maintenus après départ,Salarié parti conserve des accès SI,Risque de fuite ou sabotage,C-ITA-07,Workflow RH-IT pour la révocation,Désactivation déclenchée le jour J du départ par workflow RH-IT. SLA de 24h,Préventif,Automatique,Permanent,Existence,RH / IT,Oui,Auto,Workflow + logs IAM,Lister les départs sur la période. Vérifier le délai de désactivation.,NIST AC-2 / RGPD / ISO A.9.2.6
ITA-008,IT - Access Management,User Lifecycle,R-ITA-08,Accès non mis à jour après mobilité,Salarié change de poste mais conserve les anciens droits (rights creep),Cumul de droits non justifié,C-ITA-08,Réinitialisation des droits à chaque mobilité,Mobilité interne déclenche revue + réinitialisation des droits selon nouveau rôle,Préventif,Manuel,Permanent,Autorisation,RH / IT / Manager,Oui,Semi-auto,Workflow mobilité,Échantillonner 15 mobilités. Vérifier la revue des droits.,NIST AC-6 / ISO A.9.2.5
ITA-009,IT - Access Management,Access Reviews,R-ITA-09,Pas de revue périodique des accès,Accumulation d'accès obsolètes non détectée,Privilege creep généralisé,C-ITA-09,Revue trimestrielle des accès par owner,Owner métier valide chaque trimestre les accès de son périmètre. Désactivation auto si pas de validation,Détectif,Manuel,Trimestriel,Autorisation,Owners métier / IT,Oui,Semi-auto,Campagnes de revue + traces,Vérifier le taux de complétion. Échantillonner 20 utilisateurs et tester la revue.,NIST AC-2(7) / SOX / ISO A.9.2.5
ITA-010,IT - Access Management,SoD,R-ITA-10,Conflit de ségrégation des tâches,Utilisateur cumulant des droits incompatibles,Risque de fraude,C-ITA-10,Matrice SoD et contrôles continus,Matrice SoD définie. Contrôle continu des conflits. Remediation des cas existants,Détectif,Automatique,Continu,Autorisation,IT / Métier,Oui,Auto,Matrice + rapports SoD,Extraire la matrice. Identifier les conflits et leur traitement.,COSO / SOX
ITA-011,IT - Access Management,Authentication,R-ITA-11,Comptes par défaut ou techniques mal protégés,Comptes built-in avec mots de passe par défaut,Voie d'attaque connue,C-ITA-11,Désactivation ou changement des comptes par défaut,Tous les comptes par défaut désactivés ou mots de passe changés. Vérification au déploiement,Préventif,Manuel,Permanent,Existence,IT Sécurité,Oui,Manuel,Procédure de hardening + checklist,Tester sur un échantillon de systèmes les comptes par défaut.,CIS 5.2 / ANSSI / NIST IA-5
ITA-012,IT - Access Management,Logging,R-ITA-12,Activité d'accès non journalisée,Connexions / actions sensibles non loggées,Impossibilité d'investigation,C-ITA-12,Journalisation centralisée des accès,Logs d'authentification et d'actions sensibles centralisés (SIEM). Rétention 12 mois,Détectif,Automatique,Continu,Conformité,IT Sécurité,Oui,Auto,SIEM + rétention,Vérifier la complétude des logs collectés. Tester la rétention.,NIST AU-2 / ISO A.12.4
ITA-013,IT - Access Management,Service Accounts,R-ITA-13,Comptes de service non contrôlés,Comptes applicatifs non documentés ou avec mot de passe en clair,Risque de compromission,C-ITA-13,Inventaire et coffre-fort des comptes de service,Inventaire à jour. Mots de passe stockés dans coffre-fort. Rotation régulière,Préventif,Manuel,Trimestriel,Existence,IT Sécurité,Oui,Semi-auto,Inventaire + coffre,Échantillonner 15 services. Vérifier la présence dans l'inventaire et le coffre.,NIST IA-5 / CIS 5.4
ITA-014,IT - Access Management,Remote Access,R-ITA-14,Accès distant non sécurisé,VPN ou accès distant sans contrôles suffisants,Voie d'intrusion,C-ITA-14,Sécurisation des accès distants,VPN avec MFA + posture des postes vérifiée. Logs et alertes anomalies,Préventif,Automatique,Continu,Existence,IT Sécurité,Oui,Auto,Politique VPN + logs,Tester un accès sans MFA ou avec poste non conforme. Vérifier le blocage.,NIST AC-17 / ISO A.13.1
ITD-001,IT - Data,Data Classification,R-ITD-01,Données non classifiées,Absence de classification empêche d'appliquer les bons contrôles,Sur ou sous-protection des données,C-ITD-01,Politique et schéma de classification des données,Politique définissant les niveaux (Public / Interne / Confidentiel / Secret) avec règles associées,Préventif,Manuel,Permanent,Conformité,DPO / IT Sécurité,Oui,Manuel,Politique + tags,Vérifier la couverture sur les principaux jeux de données. Échantillonner 10 datasets.,NIST RA-2 / ISO A.8.2 / RGPD
ITD-002,IT - Data,Data Inventory,R-ITD-02,Inventaire des données absent ou obsolète,Pas de visibilité sur les données détenues,Risque RGPD et fuite non détectée,C-ITD-02,Cartographie des traitements (registre RGPD),Registre des traitements à jour. Revue annuelle. Lien avec systèmes hébergeant les données,Préventif,Manuel,Annuel,Conformité,DPO,Oui,Manuel,Registre RGPD,Vérifier la complétude vs systèmes connus. Échantillonner 5 traitements.,RGPD Art. 30 / NIST PM-5
ITD-003,IT - Data,Encryption,R-ITD-03,Données sensibles non chiffrées au repos,Stockage en clair de données confidentielles,Fuite en cas de compromission,C-ITD-03,Chiffrement obligatoire pour données sensibles,Données classifiées >Confidentiel chiffrées au repos (DB / fichiers / sauvegardes),Préventif,Automatique,Continu,Conformité,IT Sécurité,Oui,Auto,Configuration + scans,Tester sur un échantillon. Vérifier les configurations de chiffrement.,NIST SC-28 / ISO A.10 / RGPD Art. 32
ITD-004,IT - Data,Encryption,R-ITD-04,Transmission de données en clair,Échanges non chiffrés sur le réseau,Interception possible,C-ITD-04,Chiffrement TLS obligatoire pour les échanges,TLS 1.2+ obligatoire pour toute connexion. Configuration vérifiée et auditée,Préventif,Automatique,Continu,Conformité,IT Sécurité,Oui,Auto,Configuration + scans SSL Labs,Tester avec un outil (SSL Labs). Vérifier les versions TLS acceptées.,NIST SC-8 / ISO A.10.1
ITD-005,IT - Data,Backups,R-ITD-05,Sauvegardes incomplètes ou indisponibles,Sauvegarde absente ou non restaurable,Perte de données en cas d'incident,C-ITD-05,Politique de sauvegarde 3-2-1 et tests,Sauvegardes selon règle 3-2-1. Tests de restauration mensuels documentés,Préventif,Manuel,Mensuel,Existence,IT Infra,Oui,Semi-auto,Politique + PV de tests,Vérifier les PV de restauration sur 3 mois. Tester une restauration en direct.,NIST CP-9 / ISO A.12.3 / CIS 11
ITD-006,IT - Data,Backups,R-ITD-06,Sauvegardes non protégées contre le ransomware,Sauvegardes accessibles depuis le SI compromis,Sauvegardes chiffrées par l'attaquant,C-ITD-06,Sauvegardes immutables ou hors-ligne,Au moins une copie immutable (WORM) ou air-gapped. Test de récupération depuis cette copie,Préventif,Automatique,Permanent,Existence,IT Infra / Sécurité,Oui,Auto,Configuration + tests,Vérifier l'isolation. Tester une attaque simulée sur les sauvegardes.,NIST CP-6 / CISA / ANSSI
ITD-007,IT - Data,DLP,R-ITD-07,Fuite de données par les utilisateurs,Envoi accidentel ou volontaire de données sensibles,Sanction RGPD + fuite,C-ITD-07,DLP sur les canaux de fuite (email / cloud / USB),DLP déployé sur email + cloud + USB. Politiques basées sur la classification,Détectif,Automatique,Continu,Conformité,IT Sécurité,Oui,Auto,Console DLP + alertes,Vérifier la couverture. Tester l'envoi d'un échantillon de données classifiées.,NIST SC-7 / RGPD / ISO A.13
ITD-008,IT - Data,Access to Data,R-ITD-08,Accès aux données non tracé,Pas de log des accès aux données sensibles,Impossibilité d'investiguer une fuite,C-ITD-08,Audit logging sur les accès aux données sensibles,Logs des accès et exports tracés. Centralisation SIEM. Alertes sur volumes anormaux,Détectif,Automatique,Continu,Conformité,IT Sécurité,Oui,Auto,SIEM + alertes,Vérifier la couverture du logging. Tester une alerte sur volume anormal.,NIST AU-2 / RGPD / ISO A.12.4
ITD-009,IT - Data,Data Retention,R-ITD-09,Données conservées au-delà du délai légal,Rétention excessive en violation du RGPD,Sanction RGPD,C-ITD-09,Politique de rétention et purges automatiques,Politique définit les durées par type de donnée. Purges automatiques paramétrées,Préventif,Automatique,Permanent,Conformité,DPO / IT,Oui,Auto,Politique + logs de purge,Vérifier la politique vs RGPD. Tester l'effectivité des purges.,RGPD Art. 5 / NIST SI-12
ITD-010,IT - Data,Data Subject Rights,R-ITD-10,Demandes RGPD non traitées dans les délais,Droits des personnes (accès / effacement / portabilité) non honorés,Sanction CNIL,C-ITD-10,Procédure et outil de traitement des demandes,Procédure documentée. Outil de suivi avec SLA légal (1 mois max). Reporting trimestriel,Détectif,Manuel,Permanent,Conformité,DPO,Oui,Semi-auto,Outil de suivi + reporting,Échantillonner 10 demandes. Vérifier le respect du délai et la complétude.,RGPD Art. 12-22
ITD-011,IT - Data,Third Party,R-ITD-11,Sous-traitants ne respectant pas le RGPD,Données transmises à des tiers sans garanties,Responsabilité conjointe,C-ITD-11,Clauses RGPD et audit des sous-traitants,Contrats avec clauses Art. 28. Évaluation initiale + audit annuel des principaux sous-traitants,Préventif,Manuel,Annuel,Conformité,DPO / Achats,Oui,Manuel,Contrats + rapports d'audit,Échantillonner 10 sous-traitants. Vérifier les contrats et les rapports d'audit.,RGPD Art. 28
ITD-012,IT - Data,Pseudonymization,R-ITD-12,Données personnelles non pseudonymisées en non-prod,Données réelles dans environnements de test/dev,Risque de fuite,C-ITD-12,Anonymisation systématique des données non-prod,Process d'anonymisation appliqué à toute copie de données vers non-prod,Préventif,Automatique,Permanent,Conformité,IT / DPO,Oui,Auto,Process + scans environnements,Auditer un échantillon d'environnements non-prod. Détecter les données réelles.,RGPD Art. 25 / NIST SC-28
ITD-013,IT - Data,Incident Response,R-ITD-13,Violation de données non détectée ou non notifiée,Fuite non détectée ou notification CNIL >72h,Sanction RGPD,C-ITD-13,Procédure de gestion des violations de données,Procédure avec rôles + délais de notification CNIL (72h) et personnes concernées. Tests annuels,Détectif,Manuel,Annuel,Conformité,DPO / IT Sécurité,Oui,Manuel,Procédure + exercices,Vérifier la procédure. Échantillonner les violations de l'année et leur traitement.,RGPD Art. 33-34 / NIST IR
ITD-014,IT - Data,Data Quality,R-ITD-14,Qualité des données critiques dégradée,Données erronées ou incohérentes,Décisions sur des données fausses,C-ITD-14,Contrôles qualité sur les données critiques,Règles de qualité définies sur les datasets critiques. Reporting et plans d'action,Détectif,Automatique,Mensuel,Exactitude,Data Owners / IT,Non,Auto,Tableau de bord qualité,Vérifier les règles définies et le suivi des écarts.,DAMA / COSO
RD-001,R&D,Project Initiation,R-RD-01,Projet R&D non aligné avec la stratégie,Lancement de projet sans cadrage stratégique,Allocation budgétaire inefficace,C-RD-01,Comité d'investissement R&D,Tout projet >seuil validé en comité avec business case + alignement stratégique,Préventif,Manuel,Permanent,Autorisation,Direction R&D / DAF,Oui,Manuel,PV de comité + business cases,Échantillonner 10 projets. Vérifier la trace de validation comité.,COSO
RD-002,R&D,Project Initiation,R-RD-02,Doublons ou silos R&D,Plusieurs équipes travaillant sur le même sujet,Gaspillage de ressources,C-RD-02,Portfolio management R&D centralisé,Outil de portfolio listant tous les projets. Revue trimestrielle pour détection des doublons,Détectif,Manuel,Trimestriel,Existence,Direction R&D,Non,Semi-auto,Outil portfolio + revues,Comparer les projets actifs entre équipes. Détecter les chevauchements.,COSO
